customer_id,name,age,tenure_months,pay_cycle,base_income,credit_limit,city,signup_date,rent_amount,util_weekly
C000037,Donna Walker,42,29,monthly,4185.71,6472.86,Port Margaretview,2023-10-01,-1364.1,-18.6
C000038,Austin Glenn,23,12,biweekly,4594.55,6113.46,New Debbieside,2023-11-22,-799.14,-44.32
C000039,Traci Mcgee,21,47,monthly,4036.57,7193.89,Port Angela,2024-06-27,-1125.48,-49.16
C000040,Tammy Garcia,30,29,monthly,6549.91,9309.9,New Angelamouth,2024-01-07,-2236.88,-35.94
C000041,David Thomas,34,7,monthly,6036.47,7593.76,West Shelley,2024-11-27,-2139.2,-58.4
C000042,Sarah Gomez,42,45,monthly,5190.84,8479.01,West Brookeborough,2024-01-20,-1794.41,-47.07
C000043,Mr. Theodore Wilson DDS,39,50,monthly,4774.58,8229.5,East Michael,2024-12-04,-1548.78,-41.56
C000044,Suzanne Frank,32,1,biweekly,6188.03,7475.64,North Alexisstad,2023-04-13,-2447.9,-40.19
C000045,Gene Flowers,37,43,biweekly,1200.0,3590.0,North Brenda,2023-12-03,-355.08,-45.03
C000046,Maria Wood,22,22,monthly,5112.79,7235.35,New Lisaland,2023-10-04,-1804.94,-30.67
C000047,Catherine Martin,35,32,monthly,5262.86,7915.44,Hernandezstad,2023-07-21,-1716.64,-79.34
C000048,Monica Shepard,32,41,monthly,2990.66,5638.8,Leachstad,2024-12-18,-973.0,-65.63
C000049,Gregory Ball,19,12,monthly,2346.64,3415.97,Adamport,2024-01-01,-781.77,-53.06
C000050,Pamela Allen,64,29,monthly,5815.55,8428.66,South Dennisport,2024-09-18,-1509.21,-39.73
C000051,Andres King,29,5,monthly,3467.89,4411.47,East Elizabethfurt,2024-05-06,-710.33,-57.78
C000052,Benjamin Dawson,23,1,monthly,3660.48,4442.58,South Jacob,2024-06-21,-1201.35,-60.6
C000053,Chad Gordon,35,10,biweekly,2423.21,3407.85,Mooremouth,2024-08-21,-585.15,-95.78
C000054,Sandra Garcia,34,23,biweekly,4981.0,7127.19,Hunttown,2024-01-20,-873.08,-58.35
C000055,Teresa Taylor,28,31,monthly,4973.24,7517.89,Andrewview,2024-06-09,-1860.18,-82.04
C000056,Tiffany Jackson,19,1,monthly,3955.77,4796.92,Ramosland,2024-12-13,-1242.83,-52.51
C000057,Emily Price,19,17,monthly,4288.6,5996.32,Lake Diana,2024-10-27,-1061.0,-64.64
C000058,Shawn Rojas,36,37,biweekly,5256.09,8157.3,Port Hector,2024-07-02,-1984.84,-31.21
C000059,Whitney White,19,25,monthly,3344.27,5263.12,Kellertown,2024-04-02,-1192.7,-40.68
C000060,Gregory Phillips,41,32,biweekly,2841.55,5009.87,Christopherside,2023-03-27,-992.04,-57.2
C000061,Lisa Baker,35,65,monthly,5544.04,9902.85,Brownshire,2024-10-13,-1739.78,-55.57
C000062,Larry Johnson,25,1,monthly,3928.43,4764.11,North Ritatown,2023-10-22,-1100.96,-50.63
C000063,Brad Rhodes,30,1,monthly,2545.47,3104.56,Nguyenmouth,2023-12-09,-694.31,-53.61
C000064,Alexandra Jordan,60,36,biweekly,6907.47,10088.96,East Michaelside,2024-06-27,-2474.23,-55.18
C000065,Tanner Riley,37,36,biweekly,3049.25,5459.1,Port Sarah,2023-08-15,-495.66,-48.39
C000066,Karen Parker,32,37,monthly,4703.7,7494.44,Port Ericfurt,2023-04-16,-1758.91,-56.76
C000067,Danny Hoffman,31,5,biweekly,3449.8,4389.76,Jasonborough,2024-02-27,-1062.05,-49.99
C000068,Patricia Bray,35,33,monthly,2964.16,5207.0,Marybury,2024-07-12,-981.87,-33.09
C000069,Patricia Fowler,45,3,biweekly,4604.84,5675.8,North Austinport,2023-06-24,-1374.8,-70.43
C000070,Michael Kirby,44,35,monthly,5221.52,8015.82,Daltonstad,2024-02-07,-2145.76,-33.95
C000071,Charles Foster,26,43,biweekly,3486.3,6333.56,West Alisonchester,2024-06-03,-522.94,-39.98
C000072,Matthew Leonard,55,10,biweekly,4070.41,5384.5,South Jessicaburgh,2023-07-11,-1119.9,-63.85
C000073,Joshua Bradford,30,40,monthly,1200.0,3440.0,Lake Jennifer,2024-07-13,-354.42,-68.43
C000074,Alejandro Cruz,61,21,biweekly,2172.61,3657.13,Caseymouth,2023-05-20,-684.36,-58.32
C000075,Shelley Powell,31,14,biweekly,3919.89,5403.87,West Chadmouth,2023-06-12,-1354.32,-37.19
C000076,Stephanie Juarez,41,32,biweekly,3118.52,5342.23,Danielville,2024-02-03,-1293.64,-69.85
C000077,Kenneth Farmer,27,21,monthly,4644.78,6623.74,Lake Michaelberg,2023-07-15,-1002.16,-33.34
C000078,Matthew Martin,47,15,monthly,5425.16,7260.2,Ericfurt,2023-09-19,-1194.07,-64.63
C000079,Nathaniel Wilkerson,19,1,biweekly,4004.1,4854.92,Christineland,2024-05-02,-1356.08,-79.53
C000080,Kimberly Sullivan,26,54,biweekly,8142.05,12470.45,Stevenberg,2024-05-07,-2473.61,-32.17
C000081,Maria Duran,40,24,biweekly,4587.59,6705.11,South Amanda,2024-02-01,-1880.02,-100.86
C000082,Jennifer Bauer,53,27,monthly,3862.78,5985.33,Lake Emily,2023-03-17,-1127.5,-60.27
C000083,John Bailey,52,19,biweekly,4407.07,6238.48,West Christina,2024-04-27,-1418.87,-26.66
C000084,Tammy Moore,27,15,monthly,4612.4,6284.88,North Jessica,2024-05-24,-1763.15,-25.56
C000085,Martha Bowman,34,5,biweekly,2799.64,3609.56,North Jennifer,2024-10-30,-832.85,-41.72
C000086,Stephen Rios,27,24,monthly,4379.41,6455.29,Lake Jeffrey,2023-11-06,-1336.9,-59.27
C000087,Mrs. Melissa Parker MD,40,17,monthly,1643.38,2822.06,Lake Sarah,2024-06-06,-548.79,-89.92
C000088,Hector Brennan,25,72,monthly,6056.55,10867.86,Hannahtown,2023-08-26,-2566.12,-58.57
C000089,Shelley Peterson,42,69,monthly,4184.01,8470.82,Ashleyport,2023-06-03,-1478.04,-67.81
C000090,Elizabeth Ramirez,28,37,biweekly,3797.77,6407.33,Phillipsview,2023-07-22,-1236.33,-75.29
C000091,Kaitlin Jones,34,32,biweekly,3550.49,5860.58,Markstad,2024-01-31,-1419.18,-41.82
C000092,Lindsay Wong,41,31,monthly,3014.0,5166.8,North Earlhaven,2023-11-15,-984.17,-40.77
C000093,Patricia Kim MD,30,39,monthly,4853.35,7774.02,East Steven,2024-07-14,-1573.83,-22.9
C000094,Sarah Gardner,28,60,monthly,2421.76,5906.11,New Benjaminberg,2024-02-19,-850.53,-45.43
C000095,Paul Acevedo,43,51,monthly,5350.07,8970.08,North Jason,2023-08-20,-2115.69,-75.99
C000096,Michael Stephens,34,27,biweekly,5385.75,7812.89,Brianshire,2023-08-12,-2347.78,-37.33
C000097,Brandy Banks,59,3,monthly,4943.0,6081.6,Mcdanielchester,2023-03-27,-1218.07,-46.28
C000098,Jeffrey Lane,28,1,monthly,5163.85,6246.62,New Christinaside,2024-10-31,-1854.47,-63.65
C000099,Jose Oliver,32,11,biweekly,4662.96,6145.55,New John,2024-06-17,-1377.24,-54.72
C000100,Zachary Walker,24,47,biweekly,3994.78,7143.73,Lake Teresaton,2023-06-10,-1169.86,-59.42
C000101,Katherine Blair,43,40,biweekly,5097.22,8116.66,Smithbury,2024-04-06,-1568.27,-21.55
C000102,Bryan Singh,31,14,monthly,1423.07,2407.68,Lake Rebeccaville,2023-05-17,-502.06,-41.52
C000103,Carolyn Singleton,37,23,biweekly,5135.59,7312.71,East Brianna,2023-12-02,-2112.47,-40.26
C000104,David Duran,25,1,monthly,6238.39,7536.07,Lake Hannahport,2023-11-23,-1220.74,-57.17
C000105,Elizabeth Webb,41,32,monthly,6715.11,9658.14,Candicehaven,2024-08-18,-1298.33,-37.47
C000106,Victor Hurst,25,1,monthly,5723.36,6918.03,Lake Jessica,2024-06-14,-1959.28,-32.12
C000107,Christian Reid,43,1,biweekly,4137.11,5014.53,Victoriastad,2024-10-02,-1483.82,-59.74
C000108,James Edwards,47,1,biweekly,3436.05,4173.26,Petersonside,2024-07-19,-1087.72,-62.87
C000109,Adam Clark,19,46,biweekly,3386.57,6363.88,East Benjaminhaven,2024-06-02,-1141.1,-70.82
C000110,Stephanie Chan,51,26,monthly,2861.86,4734.23,New Charles,2023-06-01,-695.52,-25.77
C000111,Cindy Gordon,31,13,monthly,4941.29,6579.55,Mooreport,2024-06-30,-1035.84,-105.89
C000112,Jose David,31,62,monthly,5669.59,9903.51,Port Matthewland,2024-02-18,-2065.8,-67.74
C000113,Robin Hancock,19,22,monthly,2609.8,4231.76,Sherriburgh,2024-10-11,-964.83,-53.3
C000114,Jamie Valdez,40,36,monthly,4467.82,7161.39,Burtonville,2024-01-16,-1585.85,-48.96
C000115,Dakota Blankenship,22,50,monthly,2848.27,5917.92,Port Gregoryville,2023-04-16,-832.17,-68.84
C000116,Mrs. Jennifer Jackson MD,24,11,monthly,3839.27,5157.13,Adamsville,2023-11-27,-986.32,-41.01
C000117,Joseph Ibarra,25,62,monthly,2437.75,6025.3,Lake Patrick,2024-08-14,-807.42,-46.3
C000118,David Russo,46,39,biweekly,4750.17,7650.2,Hollyborough,2024-06-19,-1267.79,-46.79
C000119,David Valdez PhD,31,40,monthly,3147.86,5777.43,Michaelside,2024-04-07,-842.28,-51.96
C000120,Colton Hayes,37,23,monthly,6130.36,8506.43,West Marissa,2024-05-14,-1567.03,-27.14
C000121,Frank Collins,24,28,monthly,3873.62,6048.34,Elizabethberg,2023-04-06,-1109.61,-28.6
C000122,Julia Carey,30,46,biweekly,6245.26,9794.31,Nicolasville,2023-12-30,-981.95,-60.73
C000123,Joshua Jackson,39,30,biweekly,5216.83,7760.2,Lewisberg,2024-09-19,-1398.74,-23.98
C000124,Terri Sosa,32,42,monthly,4239.92,7187.91,South Carriechester,2024-01-07,-1447.34,-43.65
C000125,Nicole Fisher,45,28,monthly,3591.15,5709.38,Port Emilyside,2024-07-12,-831.58,-61.36
C000126,Donna Hart,34,8,biweekly,3679.12,4814.94,Williamville,2023-06-29,-1118.94,-55.47
C000127,Jacob Gould,30,43,monthly,4026.35,6981.62,Lake Sandra,2024-10-04,-962.99,-38.76
C000128,Andrea Davis,35,7,monthly,1750.29,2450.35,Youngchester,2024-11-21,-392.67,-54.99
C000129,Catherine Mccullough,42,37,monthly,1889.29,4117.15,Phillipsborough,2024-02-20,-610.12,-18.6
C000130,Brandon Harris,41,4,monthly,5397.32,6676.78,Gonzalezberg,2023-03-05,-1739.85,-81.28
C000131,Michael Bell,43,7,biweekly,3652.88,4733.45,Cunninghamside,2023-11-06,-1102.09,-25.14
C000132,Michelle Wallace,34,39,monthly,6428.62,9664.35,Lake James,2023-11-30,-2873.93,-61.14
C000133,Anne White,26,36,monthly,3221.23,5665.48,Laurahaven,2023-09-17,-1062.45,-42.64
C000134,Donald Cortez,21,32,monthly,3759.12,6110.95,East Patrick,2024-08-28,-1256.02,-70.19
C000135,Sara Jones DVM,22,19,biweekly,2800.41,4310.49,Port Davidberg,2024-03-21,-1051.96,-29.26
C000136,Rhonda Davis,32,18,monthly,3972.91,5667.49,Port Rebeccachester,2023-09-20,-1216.21,-48.05
C000137,David Smith,46,55,biweekly,3082.85,6449.42,Lake Marcushaven,2024-09-11,-882.88,-37.97
C000138,Patrick Crawford,38,34,biweekly,4597.91,7217.49,West Jacquelinefurt,2024-02-15,-924.23,-70.68
C000139,Logan Gibbs,19,5,monthly,5748.14,7147.77,Maryhaven,2023-11-05,-1554.28,-52.38
C000140,Kevin Johnson,43,14,monthly,3758.72,5210.47,South Dean,2024-08-12,-1011.4,-48.62
C000141,Deanna Fowler,25,63,biweekly,5104.16,9274.99,Stephanieview,2023-06-01,-1604.97,-43.78
C000142,Michele Knight,39,17,monthly,4125.32,5800.38,Port Haleyhaven,2023-10-07,-1296.0,-49.84
C000143,Christopher Taylor,36,1,monthly,3197.04,3886.45,Lake Patrickberg,2024-05-30,-912.33,-57.17
C000144,Christopher Harper,43,17,monthly,3649.82,5229.78,New Robertoburgh,2024-08-12,-1353.17,-55.8
C000145,Eugene Patterson,46,13,biweekly,6591.89,8560.27,Smithville,2024-10-15,-2124.65,-74.59
C000146,Jessica Payne,27,1,monthly,4665.19,5648.23,Bettyburgh,2024-01-23,-1757.03,-42.18
C000147,Heather Hester,34,16,monthly,2806.08,4167.29,Hopkinstown,2024-10-17,-798.74,-37.41
C000148,Angela Ayala,41,51,monthly,6382.08,10208.5,Franklinberg,2023-07-29,-1629.01,-67.69
C000149,Taylor Santos,41,34,biweekly,4952.69,7643.23,East Scottport,2023-09-02,-2251.28,-43.85
C000150,Phyllis Hall,30,30,biweekly,3651.81,5882.17,New Karen,2024-01-06,-1283.2,-47.57
C000151,Sarah Alexander,40,24,monthly,4728.47,6874.16,North Charles,2023-03-18,-1393.92,-45.77
C000152,Mrs. Mariah Levy,32,43,monthly,5481.26,8727.51,East Rayhaven,2023-04-22,-2141.73,-48.37
C000153,Elizabeth Lopez,31,40,monthly,3730.96,6477.16,South Andrew,2024-05-12,-983.6,-47.69
C000154,Christopher Martin,42,27,monthly,3377.96,5403.55,West Brandi,2024-08-04,-1307.07,-24.65
C000155,Chloe Smith,36,56,monthly,7125.2,11350.23,South Ashleyland,2024-03-29,-1628.03,-86.06
C000156,Gilbert Clay,44,15,monthly,4868.61,6592.33,Lopezfurt,2024-09-26,-1343.75,-38.56
C000157,Patricia Miller,34,49,biweekly,3109.06,6180.87,East Josephberg,2024-04-13,-1130.81,-66.21
C000158,Tara Smith,37,5,monthly,4712.08,5904.5,Lake Shawnville,2024-02-11,-1267.07,-49.05
C000159,Mary Herrera,37,10,monthly,2707.95,3749.54,Apriltown,2024-06-04,-655.18,-23.66
C000160,Yvonne Smith,24,34,monthly,6362.16,9334.6,Fernandezmouth,2023-09-16,-2372.17,-83.97
C000161,Beth Carr,46,36,biweekly,4533.5,7240.2,North Johnbury,2023-12-23,-1306.28,-79.94
C000162,Douglas Graves,21,1,biweekly,3653.37,4434.05,North Elizabethberg,2024-02-06,-1037.13,-52.32
C000163,Sean Harvey,46,13,biweekly,3131.8,4408.16,Thomasmouth,2023-10-15,-869.17,-56.26
C000164,Jasmine Ramirez,36,37,monthly,3013.93,5466.72,Raymondville,2024-09-01,-1158.75,-28.98
C000165,Holly Hall,35,29,biweekly,3628.28,5803.93,North Glenn,2023-09-13,-987.02,-23.49
C000166,Kristen Ortega,19,17,biweekly,3651.06,5231.28,Amandaborough,2023-09-05,-1147.12,-60.96
C000167,Nicholas Soto,33,22,biweekly,6444.19,8833.03,Watersmouth,2023-07-16,-1689.67,-64.14
C000168,Elijah Gray,28,13,biweekly,3964.99,5407.98,Stonemouth,2023-12-16,-1309.79,-64.27
C000169,Peggy Coleman,44,41,monthly,4215.06,7108.07,Port Amandachester,2023-11-05,-1388.55,-62.69
C000170,Paul Harris,27,51,monthly,5142.25,8720.7,Khanhaven,2023-04-03,-1378.26,-55.34
C000171,Mackenzie Evans,42,28,biweekly,3072.11,5086.53,South John,2024-08-03,-639.88,-35.74
C000172,Michael Mitchell,36,2,monthly,5391.5,6569.8,Port Susan,2023-05-10,-2021.75,-83.59
C000173,Scott Jones,19,37,monthly,5138.24,8015.89,Lake Christophermouth,2024-11-25,-1935.95,-45.37
C000174,Dawn Garner,29,16,monthly,5252.64,7103.16,Kaylamouth,2023-09-08,-787.9,-49.89
C000175,Mackenzie Johnson,36,35,biweekly,4212.34,6804.81,East Teresaside,2024-06-27,-1715.24,-59.05
C000176,Jason Munoz,19,56,monthly,3348.15,6817.79,Abbotttown,2024-06-29,-1354.12,-40.17
C000177,Mr. Roger Carroll,35,12,monthly,6192.42,8030.91,New Danny,2024-12-15,-1860.44,-74.65
C000178,Sandra Anderson DVM,45,18,monthly,2847.92,4317.51,Cantutown,2023-09-10,-656.8,-60.64
C000179,Rachel Herrera,23,52,biweekly,5002.85,8603.42,New Michaelland,2024-08-26,-1905.55,-56.03
C000180,Shannon Shelton,44,19,monthly,3232.01,4828.42,South Sabrinabury,2023-03-29,-1433.87,-19.25
C000181,Melissa Rose,57,33,monthly,3768.25,6171.9,Judithland,2024-12-09,-978.75,-50.7
C000182,William Scott,54,2,monthly,3487.62,4285.14,East Matthewport,2024-11-20,-1308.84,-23.53
C000183,Raymond Novak,36,21,monthly,2346.5,3865.8,New Ryantown,2023-12-17,-1077.14,-38.6
C000184,Caleb Taylor,41,28,monthly,2259.32,4111.19,Lindseyton,2024-09-18,-846.77,-57.17
C000185,Laura Smith,32,1,biweekly,4950.14,5990.17,West Lisafurt,2024-03-18,-1919.0,-19.36
C000186,Darryl Rodriguez,25,20,biweekly,3543.22,5251.87,Laurenshire,2023-12-02,-1610.76,-53.25
C000187,Amber Wilson,39,20,monthly,4059.32,5871.19,Andreastad,2024-10-04,-1703.37,-51.45
C000188,Thomas Watson,19,31,biweekly,3021.78,5176.14,Williamsmouth,2024-11-08,-951.36,-37.22
C000189,Rachel Lopez,47,19,monthly,4412.73,6245.27,Warnerchester,2023-10-13,-1118.85,-50.34
C000190,Annette Lopez,41,6,biweekly,2485.37,3282.44,Juarezburgh,2023-10-08,-905.2,-33.49
C000191,Joseph Nicholson,33,44,biweekly,3337.59,6205.1,Victorshire,2024-11-16,-1114.1,-57.6
C000192,Gary Burke,47,1,monthly,3308.71,4020.46,New Williamborough,2023-06-16,-972.12,-78.46
C000193,Nicole Pratt MD,31,1,biweekly,4759.73,5761.67,Port Tyroneview,2023-04-19,-1318.7,-18.6
C000194,Jessica Vega,51,40,biweekly,3806.15,6567.38,Cruzmouth,2023-11-20,-932.56,-105.39
C000195,Amanda Riggs,40,26,monthly,5128.51,7454.22,Adamland,2024-11-28,-1841.05,-36.02
C000196,David Meadows,35,1,monthly,4844.14,5862.97,North Kimberlymouth,2024-11-26,-1185.39,-62.24
C000197,Victoria Torres,44,28,biweekly,5388.34,7866.01,New Miranda,2024-08-02,-1621.17,-54.82
C000198,Mike Roberson,43,28,biweekly,4918.92,7302.71,South Hector,2024-05-03,-1617.05,-59.99
C000199,Natalie Nelson,19,5,monthly,2253.27,2953.92,Amandachester,2023-04-23,-666.15,-68.53
C000200,Tiffany Butler,23,11,monthly,4805.68,6316.81,South Debra,2024-03-21,-1651.12,-48.5
C000201,Joshua Sanchez,24,45,biweekly,2172.42,4856.9,Lake Denisechester,2023-10-20,-727.48,-68.7
C000202,Jenna Matthews,44,34,biweekly,3100.62,5420.75,Jessicatown,2023-09-02,-1071.95,-69.07
C000203,Teresa Dunlap,31,37,monthly,4278.27,6983.92,South William,2024-09-02,-1471.08,-65.04
C000204,Vicki Cunningham,32,51,monthly,4987.08,8534.5,Heatherland,2024-08-01,-1686.65,-42.78
C000205,Jamie Thomas,42,17,monthly,5028.63,6884.36,South Matthew,2024-09-01,-1358.02,-22.02
C000206,Douglas Roy,30,25,biweekly,6122.68,8597.22,North Jeremy,2023-06-04,-1088.34,-42.43
C000207,Frank King,40,43,monthly,5018.57,8172.28,New Marissaborough,2023-04-24,-1127.01,-61.15
C000208,Jack Lewis,25,26,biweekly,5112.92,7435.5,New Jefffort,2024-11-25,-1278.29,-53.93
C000209,Benjamin Barton,46,19,monthly,3835.48,5552.58,West Mary,2024-06-02,-1233.89,-66.65
C000210,Brittany Aguilar,62,23,monthly,3695.27,5584.33,North Joshua,2024-02-24,-1217.21,-63.26
C000211,Alex Kim,28,2,monthly,5973.84,7268.61,Sierraburgh,2024-11-15,-1921.59,-57.31
C000212,Steven Pitts,20,34,monthly,3650.58,6080.7,Port Jacksonfort,2024-12-01,-683.01,-68.17
C000213,Christopher Russo,41,9,biweekly,4887.99,6315.59,South Cathystad,2023-09-08,-1770.65,-18.6
C000214,Laura Rasmussen,38,15,monthly,4233.41,5830.09,North Michelestad,2024-07-02,-635.01,-87.12
C000215,Jacob Harrison,49,25,biweekly,4100.97,6171.16,New Regina,2023-11-06,-1206.3,-30.39
C000216,Chad Hernandez,19,36,monthly,3556.22,6067.47,Shepardland,2023-03-10,-1274.32,-56.52
C000217,Lauren Hill,42,34,biweekly,5557.67,8369.2,New Danielle,2024-05-15,-1359.71,-48.4
C000218,Amanda Sloan,27,32,monthly,3426.58,5711.9,Floresport,2024-11-04,-1758.37,-20.08
C000219,James Waller,49,20,monthly,4324.47,6189.36,New Kennethton,2024-04-16,-1305.51,-69.31
C000220,Erica Sanchez,66,8,monthly,1846.48,2615.77,South Andrew,2024-12-07,-643.93,-48.17
C000221,Kathryn Miller,39,21,monthly,7295.35,9804.42,East Lisa,2023-09-28,-3223.21,-72.31
C000222,Jennifer Sanchez,36,3,biweekly,5440.02,6678.02,South Kimberlymouth,2023-06-17,-2126.61,-72.47
C000223,Miranda Flores,38,25,monthly,6063.57,8526.28,Port Aprilstad,2023-03-25,-2435.49,-58.53
C000224,Amy Guerra,39,31,monthly,3976.97,6322.37,Katherineshire,2024-07-17,-1026.87,-53.42
C000225,Chloe Walker,34,52,monthly,3358.87,6630.64,Rosehaven,2023-09-05,-1409.51,-58.16
C000226,Seth Merritt,29,21,biweekly,3543.35,5302.02,South Laurieshire,2024-05-18,-855.8,-44.0
C000227,Sara Smith,39,42,monthly,6065.45,9378.54,Haroldchester,2023-12-10,-1847.21,-18.98
C000228,James Rosario,66,49,monthly,3816.39,7029.67,New Scott,2024-11-27,-949.25,-44.42
C000229,Russell Simmons,47,1,monthly,2931.98,3568.38,East Michelleberg,2023-07-09,-913.26,-64.76
C000230,Melvin Hicks,45,1,monthly,4005.5,4856.6,New Jamestown,2024-04-11,-1236.09,-79.55
C000231,Mary Herring,45,5,biweekly,2648.23,3427.88,East Brandiport,2023-05-23,-737.15,-91.71
C000232,Erin Vaughn,34,40,monthly,3599.97,6319.96,East Patricia,2023-03-16,-1648.59,-86.51
C000233,Taylor Perez,36,25,biweekly,1828.03,3443.64,North Toddchester,2023-05-19,-504.96,-18.6
C000234,Frank Hall,19,16,monthly,3990.66,5588.79,Lake Robin,2024-12-18,-975.81,-46.49
C000235,Ethan Chapman,36,1,monthly,4500.74,5450.88,Wagnerport,2023-06-20,-1805.71,-53.09
C000236,Jonathan Jackson,36,27,monthly,5174.21,7559.06,Lopezborough,2024-05-28,-1601.53,-42.96
C000237,Lauren Padilla,31,27,monthly,3851.23,5971.48,West Michaelbury,2023-06-12,-887.5,-54.15
C000238,Jenna Wood,30,35,monthly,3715.7,6208.84,Lake Kimberly,2023-12-10,-1001.12,-27.01
C000239,Mark Berry,49,52,monthly,3054.76,6265.71,West Nathanielside,2024-09-23,-959.83,-40.68
C000240,Austin Patton,41,19,biweekly,3489.22,5137.07,East Gary,2024-05-06,-1467.05,-21.44
C000241,Victor Nielsen,27,26,monthly,3489.99,5487.99,Oconnelltown,2023-11-20,-991.85,-49.42
C000242,Daniel Swanson,49,10,monthly,2890.71,3968.85,Kimville,2024-12-08,-814.0,-69.78
C000243,Danielle Brown,30,33,monthly,1738.14,3735.77,Schmittview,2024-07-02,-566.33,-53.55
C000244,Timothy Rivera,44,17,biweekly,4332.8,6049.36,Shellymouth,2023-08-12,-1848.77,-63.3
C000245,Brandon Gamble,19,32,monthly,5595.87,8315.04,South Kristenfurt,2023-06-19,-2007.44,-57.23
C000246,Rebecca Reyes,47,26,biweekly,3726.02,5771.23,Boydberg,2024-07-05,-600.36,-35.9
C000247,Kevin Brown,37,24,monthly,2244.07,3892.88,New Kevin,2023-12-06,-760.82,-18.6
C000248,Sabrina Roth,39,40,biweekly,1916.14,4299.37,New Suzanne,2024-07-22,-633.3,-58.0
